NGワード,同一ワードを使って掲載NGな事例,同一ワードを使って掲載OKな事例,NGな場合の理由
黒ずみ,ムダ毛の処理によってできてしまった黒ずみをケアします。,できてしまった黒ずみ(※汚れや古い角質等による)をケアします。,"化粧品の場合、｢黒ずみ｣が色素沈着という意味合いの場合、効果表示はできません。化粧品の場合、｢黒ずみ｣が汚れや古い角質によるものであれば、｢黒すみ｣への効果は表示できます。"
過剰症,ビタミンAは摂取しすぎると過剰症になるおそれがあるため注意が必要です。,過剰症の予防にもオススメです。,厳密にいえば、デメリットな効果も、身体の具体的な変化を表す表現はNGですが、過剰摂取等の健康被害について標榜している限りは必ずしもNGではないです。
ダイエット,ダイエットサポート,ダイエット時の栄養補給サポート,"健康食品において、ダイエットサポートはダイエット(痩身)に効果があるという意味となり表示できません。｢ダイエット時の栄養補給サポート｣や｢ダイエッターサポート｣であれば、ダイエットする人の健康や栄養補給をサポートするという意味となり、表示可能です。"
血行を促進,この成分は血行を促進し、豊かな髪を育みます。,シャンプーしながらの地肌マッサージが血行を促進し、豊かな髪を育みます。,物理的な効果（マッサージ）により血行が促進されるのは、成分の効果ではないため表示可能です。
"体を温める体が温まる",このお茶を(お水で)飲むだけで、体が温まります。,このお茶をお湯で飲むことで、体が温まります。,お茶の効果として体が温まるとは言えないが、お湯の効果としては表現できます。
ハリ,このコラーゲンを飲むとハリがでます,このコラーゲンを飲むとハリのある毎日を送れます,健康食品において、肌の作用としてのハリ表現はできないが、肌とは明確に違う日々の生活のハリという意味では表現できます。
抗酸化作用,アスタキサンチンは抗酸化作用があります,"ビタミンＥは、抗酸化作用により、体内の脂質を酸化から守り、細胞の健康維持を助ける栄養素です。",栄養機能食品の場合、特定の栄養素について定められた機能性を表示することができます。
抗酸化,このサプリには抗酸化作用があります。,このサプリには成分自体の抗酸化のためにセサミンが含まれています,サプリメントの作用ではなく、配合されている成分自体の酸化を防ぐという表現は可能
浸透,化粧水が浸透します。,化粧水が角層まで浸透します。,化粧品の作用が及ぶ範囲は角層までとなりますので、化粧品の作用は角層までであると明記することが必要です。（注釈でも可）
リフトアップ,美容クリームでリフトアップ,美容クリームでマッサージするとリフトアップ,化粧品の作用ではなく、マッサージ効果(物理的作用)によるリフトアップは表現可能
守る成分,病気から守る成分,赤ちゃんの健康を守る成分,「薬」・「医療」を連想される表現は使用できません。
医師の推薦,医師もこのサプリの効果を認めています。,医師もこの製品にはビタミン･ミネラルなどの栄養素成分がバランスよく含んでいるので、食生活が不規則な方や、ダイエット中で必要な栄養素をきちんと摂取したい方におすすめできると認めています。,成分自体の効果を医師･医療関係者談として表示はできません。必要な栄養素が配合されている商品で、栄養補給自体を医師推薦表示は可能
血圧が高めの方に,このサプリは血圧が高めの方におすすめです。,特定保健用食品のこのサプリは血圧が高めな方におすすめです。,｢血圧が高めな方に適した｣として、特定保健用食品･機能性表示食品として届け出されている場合は表示可能です。
